User ID,Text
1001,A bit overwhelmed but okay.
1002,Feeling anxious lately.
1003,Feeling stressed today.
1004,Feeling stressed today.
1005,Feeling low but hopeful.
1006,Trying to stay positive.
1007,Super productive day!
1008,Life is going well.
1009,Great day with friends!
1010,Super productive day!
1011,Feeling low but hopeful.
1012,Great day with friends!
1013,Trying to stay positive.
1014,Feeling low but hopeful.
1015,Great day with friends!
1016,Trying to stay positive.
1017,Having trouble sleeping.
1018,Super productive day!
1019,Super productive day!
1020,Life is going well.
1021,Trying to stay positive.
1022,Feeling anxious lately.
1023,Having trouble sleeping.
1024,Excited for the weekend!
1025,Great day with friends!
1026,Having trouble sleeping.
1027,Trying to stay positive.
1028,A bit overwhelmed but okay.
1029,Great day with friends!
1030,Feeling stressed today.
1031,Super productive day!
1032,Trying to stay positive.
1033,Feeling stressed today.
1034,Life is going well.
1035,Feeling low but hopeful.
1036,Excited for the weekend!
1037,Excited for the weekend!
1038,Feeling stressed today.
1039,Super productive day!
1040,Life is going well.
1041,A bit overwhelmed but okay.
1042,Super productive day!
1043,Having trouble sleeping.
1044,Excited for the weekend!
1045,Having trouble sleeping.
1046,Great day with friends!
1047,Feeling anxious lately.
1048,Trying to stay positive.
1049,Life is going well.
1050,Super productive day!
1051,Excited for the weekend!
1052,Having trouble sleeping.
1053,Feeling low but hopeful.
1054,Great day with friends!
1055,Trying to stay positive.
1056,Trying to stay positive.
1057,Super productive day!
1058,Life is going well.
1059,A bit overwhelmed but okay.
1060,Feeling low but hopeful.
1061,Super productive day!
1062,Having trouble sleeping.
1063,Feeling anxious lately.
1064,Feeling stressed today.
1065,A bit overwhelmed but okay.
1066,Life is going well.
1067,Great day with friends!
1068,A bit overwhelmed but okay.
1069,Excited for the weekend!
1070,Life is going well.
1071,Feeling anxious lately.
1072,Excited for the weekend!
1073,A bit overwhelmed but okay.
1074,Feeling stressed today.
1075,Feeling stressed today.
1076,Feeling anxious lately.
1077,Trying to stay positive.
1078,Feeling low but hopeful.
1079,Great day with friends!
1080,Trying to stay positive.
1081,Feeling stressed today.
1082,Feeling stressed today.
1083,Having trouble sleeping.
1084,Excited for the weekend!
1085,A bit overwhelmed but okay.
1086,Great day with friends!
1087,Feeling anxious lately.
1088,A bit overwhelmed but okay.
1089,Having trouble sleeping.
1090,Feeling stressed today.
1091,Feeling anxious lately.
1092,Feeling stressed today.
1093,Great day with friends!
1094,Excited for the weekend!
1095,A bit overwhelmed but okay.
1096,A bit overwhelmed but okay.
1097,Trying to stay positive.
1098,Feeling anxious lately.
1099,Feeling low but hopeful.
1100,Having trouble sleeping.
1101,Feeling low but hopeful.
1102,Trying to stay positive.
1103,Great day with friends!
1104,Having trouble sleeping.
1105,Excited for the weekend!
1106,Feeling low but hopeful.
1107,Excited for the weekend!
1108,Feeling low but hopeful.
1109,Excited for the weekend!
1110,Feeling low but hopeful.
1111,Excited for the weekend!
1112,Trying to stay positive.
1113,Life is going well.
1114,Having trouble sleeping.
1115,Feeling anxious lately.
1116,Great day with friends!
1117,Super productive day!
1118,Feeling stressed today.
1119,Feeling anxious lately.
1120,Feeling stressed today.
1121,Having trouble sleeping.
1122,Feeling anxious lately.
1123,Excited for the weekend!
1124,Excited for the weekend!
1125,Super productive day!
1126,Feeling stressed today.
1127,Great day with friends!
1128,Having trouble sleeping.
1129,Excited for the weekend!
1130,Life is going well.
1131,Trying to stay positive.
1132,Trying to stay positive.
1133,Feeling low but hopeful.
1134,Great day with friends!
1135,Trying to stay positive.
1136,Feeling low but hopeful.
1137,Feeling stressed today.
1138,Excited for the weekend!
1139,Excited for the weekend!
1140,Life is going well.
1141,Feeling anxious lately.
1142,Trying to stay positive.
1143,Feeling stressed today.
1144,A bit overwhelmed but okay.
1145,Trying to stay positive.
1146,Great day with friends!
1147,Feeling anxious lately.
1148,Trying to stay positive.
1149,Feeling stressed today.
1150,Trying to stay positive.
1151,Great day with friends!
1152,A bit overwhelmed but okay.
1153,Having trouble sleeping.
1154,Super productive day!
1155,A bit overwhelmed but okay.
1156,Feeling low but hopeful.
1157,Trying to stay positive.
1158,Excited for the weekend!
1159,Life is going well.
1160,Excited for the weekend!
1161,A bit overwhelmed but okay.
1162,Excited for the weekend!
1163,Feeling stressed today.
1164,Excited for the weekend!
1165,Feeling anxious lately.
1166,Having trouble sleeping.
1167,Trying to stay positive.
1168,Excited for the weekend!
1169,Great day with friends!
1170,Having trouble sleeping.
1171,Having trouble sleeping.
1172,Excited for the weekend!
1173,Having trouble sleeping.
1174,Life is going well.
1175,Excited for the weekend!
1176,Feeling stressed today.
1177,A bit overwhelmed but okay.
1178,Feeling anxious lately.
1179,Super productive day!
1180,Feeling low but hopeful.
1181,Having trouble sleeping.
1182,Feeling stressed today.
1183,Trying to stay positive.
1184,Trying to stay positive.
1185,Feeling low but hopeful.
1186,Feeling anxious lately.
1187,Having trouble sleeping.
1188,Life is going well.
1189,Feeling low but hopeful.
1190,Feeling anxious lately.
1191,Having trouble sleeping.
1192,Feeling stressed today.
1193,A bit overwhelmed but okay.
1194,Life is going well.
1195,Super productive day!
1196,Trying to stay positive.
1197,Great day with friends!
1198,Feeling stressed today.
1199,Trying to stay positive.
1200,Excited for the weekend!
1201,Great day with friends!
1202,Trying to stay positive.
1203,Feeling anxious lately.
1204,Life is going well.
1205,Trying to stay positive.
1206,Super productive day!
1207,A bit overwhelmed but okay.
1208,Feeling anxious lately.
1209,Feeling stressed today.
1210,Feeling stressed today.
1211,Feeling stressed today.
1212,Feeling stressed today.
1213,A bit overwhelmed but okay.
1214,Trying to stay positive.
1215,Having trouble sleeping.
1216,Trying to stay positive.
1217,Excited for the weekend!
1218,Life is going well.
1219,Great day with friends!
1220,Having trouble sleeping.
1221,Having trouble sleeping.
1222,Trying to stay positive.
1223,Having trouble sleeping.
1224,Feeling low but hopeful.
1225,Feeling low but hopeful.
1226,Excited for the weekend!
1227,Great day with friends!
1228,Super productive day!
1229,A bit overwhelmed but okay.
1230,Trying to stay positive.
1231,A bit overwhelmed but okay.
1232,Super productive day!
1233,Trying to stay positive.
1234,Trying to stay positive.
1235,Great day with friends!
1236,A bit overwhelmed but okay.
1237,Feeling low but hopeful.
1238,Feeling stressed today.
1239,A bit overwhelmed but okay.
1240,Life is going well.
1241,Life is going well.
1242,Trying to stay positive.
1243,Feeling stressed today.
1244,Feeling anxious lately.
1245,Super productive day!
1246,Excited for the weekend!
1247,Feeling stressed today.
1248,Excited for the weekend!
1249,A bit overwhelmed but okay.
1250,A bit overwhelmed but okay.
1251,Excited for the weekend!
1252,Super productive day!
1253,Feeling stressed today.
1254,Feeling anxious lately.
1255,Trying to stay positive.
1256,Great day with friends!
1257,A bit overwhelmed but okay.
1258,Life is going well.
1259,Super productive day!
1260,Great day with friends!
1261,Feeling anxious lately.
1262,Having trouble sleeping.
1263,Trying to stay positive.
1264,A bit overwhelmed but okay.
1265,Trying to stay positive.
1266,Great day with friends!
1267,Trying to stay positive.
1268,Having trouble sleeping.
1269,Great day with friends!
1270,A bit overwhelmed but okay.
1271,Feeling stressed today.
1272,Life is going well.
1273,Great day with friends!
1274,Feeling low but hopeful.
1275,Having trouble sleeping.
1276,Great day with friends!
1277,Great day with friends!
1278,Feeling low but hopeful.
1279,A bit overwhelmed but okay.
1280,Great day with friends!
1281,Life is going well.
1282,Trying to stay positive.
1283,A bit overwhelmed but okay.
1284,Life is going well.
1285,A bit overwhelmed but okay.
1286,Life is going well.
1287,Having trouble sleeping.
1288,Life is going well.
1289,Excited for the weekend!
1290,Life is going well.
1291,Feeling stressed today.
1292,Feeling stressed today.
1293,Super productive day!
1294,Excited for the weekend!
1295,Excited for the weekend!
1296,Trying to stay positive.
1297,Excited for the weekend!
1298,Trying to stay positive.
1299,Super productive day!
1300,Super productive day!
1301,Having trouble sleeping.
1302,Feeling stressed today.
1303,Life is going well.
1304,Life is going well.
1305,Feeling low but hopeful.
1306,Feeling low but hopeful.
1307,Feeling anxious lately.
1308,A bit overwhelmed but okay.
1309,Having trouble sleeping.
1310,Feeling anxious lately.
1311,Feeling anxious lately.
1312,Great day with friends!
1313,Great day with friends!
1314,Feeling anxious lately.
1315,Excited for the weekend!
1316,A bit overwhelmed but okay.
1317,Having trouble sleeping.
1318,Feeling anxious lately.
1319,Life is going well.
1320,A bit overwhelmed but okay.
1321,Great day with friends!
1322,Life is going well.
1323,Great day with friends!
1324,Great day with friends!
1325,A bit overwhelmed but okay.
1326,Great day with friends!
1327,Super productive day!
1328,Feeling stressed today.
1329,Super productive day!
1330,Feeling stressed today.
1331,Feeling low but hopeful.
1332,Feeling low but hopeful.
1333,Great day with friends!
1334,Having trouble sleeping.
1335,Having trouble sleeping.
1336,Feeling stressed today.
1337,Life is going well.
1338,A bit overwhelmed but okay.
1339,Great day with friends!
1340,A bit overwhelmed but okay.
1341,Super productive day!
1342,Having trouble sleeping.
1343,Excited for the weekend!
1344,Super productive day!
1345,Super productive day!
1346,Feeling stressed today.
1347,Trying to stay positive.
1348,Super productive day!
1349,Great day with friends!
1350,Feeling anxious lately.
1351,Feeling anxious lately.
1352,Great day with friends!
1353,Trying to stay positive.
1354,Trying to stay positive.
1355,Feeling stressed today.
1356,Having trouble sleeping.
